No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
113,MCO,Moody's Corporation,90.77B,500.88,0.24%,6.90B
114,DUK,Duke Energy Corporation,90.70B,117.42,0.32%,29.75B
115,CTAS,Cintas Corporation,90.36B,224.05,-1.07%,9.76B
116,PH,Parker-Hannifin Corporation,90.09B,699.88,-0.99%,19.99B
117,APH,Amphenol Corporation,87.70B,72.74,-0.71%,14.23B
118,DELL,Dell Technologies Inc.,87.31B,124.38,-12.25%,93.95B
119,MDLZ,"Mondelez International, Inc.",87.00B,65.06,0.28%,36.15B
120,PYPL,"PayPal Holdings, Inc.",86.79B,86.57,-0.43%,31.46B
121,WELL,Welltower Inc.,86.74B,139.3,0.24%,7.56B
122,ABNB,"Airbnb, Inc.",86.39B,138.28,-1.00%,10.84B
123,CRWD,"CrowdStrike Holdings, Inc.",85.62B,347.59,-4.59%,3.74B
124,CME,CME Group Inc.,85.52B,237.33,1.25%,6.03B
125,PNC,"The PNC Financial Services Group, Inc.",85.31B,215,0.37%,20.48B
126,AON,Aon plc,85.06B,393.31,0.78%,14.93B
127,CMG,"Chipotle Mexican Grill, Inc.",84.61B,62.05,-1.05%,10.98B
128,KLAC,KLA Corporation,84.55B,632.14,0.11%,10.26B
129,SNPS,"Synopsys, Inc.",84.14B,547.74,-1.12%,6.48B
130,MSI,"Motorola Solutions, Inc.",83.67B,500.66,0.82%,10.66B
131,CDNS,"Cadence Design Systems, Inc.",83.56B,304.68,-1.75%,4.35B
132,USB,U.S. Bancorp,83.43B,53.48,-0.34%,24.90B
133,HCA,"HCA Healthcare, Inc.",82.44B,325.47,-1.06%,69.62B
134,ITW,Illinois Tool Works Inc.,81.51B,276.04,-0.17%,15.95B
135,REGN,"Regeneron Pharmaceuticals, Inc.",81.22B,754.87,0.24%,13.85B
136,ZTS,Zoetis Inc.,79.74B,176.74,0.59%,9.15B
137,MCK,McKesson Corporation,79.51B,626.38,0.22%,330.19B
138,MAR,"Marriott International, Inc.",79.37B,285.6,-0.90%,6.57B
139,CEG,Constellation Energy Corporation,79.25B,253.39,-5.00%,23.98B
140,CL,Colgate-Palmolive Company,79.05B,96.76,0.19%,20.11B
141,GD,General Dynamics Corporation,77.50B,282.31,0.10%,46.05B
142,EMR,Emerson Electric Co.,75.93B,132.59,-0.31%,17.49B
143,CVS,CVS Health Corporation,75.45B,59.96,1.61%,367.25B
144,EOG,"EOG Resources, Inc.",74.86B,133.09,0.42%,23.86B
145,FDX,FedEx Corporation,74.13B,303.39,0.14%,87.59B
